prompt_name,entropy_threshold,margin_threshold,total_steps,accepted_count,accept_rate,precision_accept,false_accept_count,false_accept_rate,expensive_calls,estimated_saved_percent
ALL,0.3,0.15,200,146,0.73,0.9726027397260274,4,0.0273972602739726,54,38.0
ALL,0.3,0.2,200,141,0.705,0.9787234042553191,3,0.02127659574468085,59,35.5
ALL,0.3,0.25,200,137,0.685,0.9781021897810219,3,0.021897810218978103,63,33.5
ALL,0.3,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
ALL,0.35,0.1,200,159,0.795,0.9685534591194969,5,0.031446540880503145,41,44.5
ALL,0.35,0.15,200,148,0.74,0.972972972972973,4,0.02702702702702703,52,39.0
ALL,0.35,0.2,200,143,0.715,0.9790209790209791,3,0.02097902097902098,57,36.5
ALL,0.35,0.25,200,138,0.69,0.9782608695652174,3,0.021739130434782608,62,34.0
ALL,0.35,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
ALL,0.4,0.1,200,162,0.81,0.9629629629629629,6,0.037037037037037035,38,46.0
ALL,0.4,0.15,200,149,0.745,0.9664429530201343,5,0.03355704697986577,51,39.5
ALL,0.4,0.2,200,144,0.72,0.9722222222222222,4,0.027777777777777776,56,37.0
ALL,0.4,0.25,200,139,0.695,0.9712230215827338,4,0.02877697841726619,61,34.5
ALL,0.4,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
ALL,0.45,0.1,200,162,0.81,0.9629629629629629,6,0.037037037037037035,38,46.0
ALL,0.45,0.15,200,149,0.745,0.9664429530201343,5,0.03355704697986577,51,39.5
ALL,0.45,0.2,200,144,0.72,0.9722222222222222,4,0.027777777777777776,56,37.0
ALL,0.45,0.25,200,139,0.695,0.9712230215827338,4,0.02877697841726619,61,34.5
ALL,0.45,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
ALL,0.5,0.1,200,162,0.81,0.9629629629629629,6,0.037037037037037035,38,46.0
ALL,0.5,0.15,200,149,0.745,0.9664429530201343,5,0.03355704697986577,51,39.5
ALL,0.5,0.2,200,144,0.72,0.9722222222222222,4,0.027777777777777776,56,37.0
ALL,0.5,0.25,200,139,0.695,0.9712230215827338,4,0.02877697841726619,61,34.5
ALL,0.5,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
ALL,0.55,0.1,200,162,0.81,0.9629629629629629,6,0.037037037037037035,38,46.0
ALL,0.55,0.15,200,149,0.745,0.9664429530201343,5,0.03355704697986577,51,39.5
ALL,0.55,0.2,200,144,0.72,0.9722222222222222,4,0.027777777777777776,56,37.0
ALL,0.55,0.25,200,139,0.695,0.9712230215827338,4,0.02877697841726619,61,34.5
ALL,0.55,0.3,200,135,0.675,0.9777777777777777,3,0.022222222222222223,65,32.5
