prompt_id,category,best_mode,second_best_mode,best_score,second_best_score,score_margin,oracle_confidence,best_mode_confident,best_saved_percent,best_similarity,best_jaccard,best_repeated_3gram_rate,calibrated_score,guarded_score,speculative_score
logic_006,logic,adaptive_calibrated,adaptive_guarded_v3,0.8827083333333334,0.8827083333333334,0.0,tie,inconclusive,40.0,0.6933333333333334,0.4375,0.0,0.8827083333333334,0.8827083333333334,0.8484179250559285
logic_007,logic,adaptive_calibrated,adaptive_guarded_v3,1.1325355218030377,1.1325355218030377,0.0,tie,inconclusive,27.500000000000004,0.9044585987261147,0.6923076923076923,0.0,1.1325355218030377,1.1325355218030377,0.4392496771068776
logic_008,logic,speculative_adaptive,adaptive_calibrated,0.5140295737547894,0.3349818840579711,0.17904768969681834,high,speculative_adaptive,-9.687499999999982,0.5172413793103449,0.2777777777777778,0.0,0.3349818840579711,0.3349818840579711,0.5140295737547894
logic_009,logic,adaptive_calibrated,adaptive_guarded_v3,0.6131445702864757,0.6131445702864757,0.0,tie,inconclusive,40.0,0.4936708860759494,0.15789473684210525,0.0,0.6131445702864757,0.6131445702864757,0.24154882154882154
logic_010,logic,speculative_adaptive,adaptive_calibrated,0.6541039522584333,0.6279199185405591,0.026184033717874255,high,speculative_adaptive,40.78125,0.5157232704402516,0.22727272727272727,0.0,0.6279199185405591,0.6279199185405591,0.6541039522584333
math_001,math,adaptive_calibrated,adaptive_guarded_v3,0.7634429824561404,0.7634429824561404,0.0,tie,inconclusive,43.125,0.543859649122807,0.5333333333333333,0.0,0.7634429824561404,0.7634429824561404,0.7625018142235124
math_002,math,adaptive_calibrated,adaptive_guarded_v3,0.31770161290322585,0.31770161290322585,0.0,tie,inconclusive,49.375,0.2064516129032258,0.05,0.0,0.31770161290322585,0.31770161290322585,-0.2694767441860464
math_003,math,adaptive_calibrated,adaptive_guarded_v3,0.6070604395604395,0.6070604395604395,0.0,tie,inconclusive,52.5,0.43956043956043955,0.25,0.0,0.6070604395604395,0.6070604395604395,0.5944235588972431
math_004,math,speculative_adaptive,adaptive_calibrated,0.03843750000000001,-0.2991666666666667,0.3376041666666667,low,inconclusive,19.218750000000007,0.0,0.0,0.0,-0.2991666666666667,-0.30541666666666667,0.03843750000000001
math_005,math,adaptive_calibrated,adaptive_guarded_v3,0.19874999999999998,0.19874999999999998,0.0,tie,inconclusive,49.375,0.08333333333333333,0.06666666666666667,0.0,0.19874999999999998,0.19874999999999998,0.06738367819990955
math_006,math,adaptive_calibrated,adaptive_guarded_v3,0.8120216049382717,0.8120216049382717,0.0,tie,inconclusive,61.875,0.6049382716049383,0.3333333333333333,0.0,0.8120216049382717,0.8120216049382717,0.7804591049382716
math_007,math,adaptive_calibrated,adaptive_guarded_v3,0.13,0.13,0.0,tie,inconclusive,65.0,0.0,0.0,0.0,0.13,0.13,-0.26250000000000007
math_008,math,adaptive_calibrated,adaptive_guarded_v3,1.2295386266094421,1.2295386266094421,0.0,tie,inconclusive,46.25,0.927038626609442,0.84,0.0,1.2295386266094421,1.2295386266094421,0.47653667734614874
math_009,math,adaptive_calibrated,adaptive_guarded_v3,0.49046099290780143,0.49046099290780143,0.0,tie,inconclusive,52.5,0.36879432624113473,0.06666666666666667,0.0,0.49046099290780143,0.49046099290780143,0.46702349290780143
math_010,math,adaptive_calibrated,adaptive_guarded_v3,0.64875,0.64875,0.0,tie,inconclusive,43.125,0.46875,0.375,0.0,0.64875,0.64875,0.5215460526315789
